comment,aspect,published_at
Meken wena account ekakta danna berida salli,,2023-10-21T12:22:50Z
Hello mata කියන්න පුළුවන් da man app eka gaththa eke ඉස්සර welama nick name eka ඊළඟට password eka itapassee illanawa terminal id කියලා ekak ekata mokadda dhanne කියලා kiyanawada man inne rata ane loku udawwak,,2023-10-06T19:44:05Z
Transaction password eka amathaka mm hadagnne kohomda,,2023-09-15T14:44:32Z
1xbet dnn brida,,2023-07-26T06:06:14Z
Mata oyage whatsApp number eka oni,,2023-03-17T11:16:36Z
Meke  pin  ekk  illnwne ekt  mokd  den  oni  kiynwd,,2023-02-19T12:21:14Z
Ayye dan update godak thiyanawa aluth video ekak gennako ewath ekka,,2023-02-01T04:02:14Z
Ayye app ek mulinma hadnna hadaddi terminal code kiyala code ekk illanawane ek mokdda,,2022-11-16T16:55:46Z
Aiye solo app eken hnb නොවන wenath banku ginumakata සල්ලි yawaddi අමතර ganak ayawenawada,,2022-08-13T11:52:06Z
Aiye meke dialog home broadband gewanna puluwanda,,2022-07-27T02:15:23Z
Api karana transfer wlt ganak kpnwda..?,,2021-12-30T06:44:57Z
It's excellent,,2021-11-05T08:14:30Z
Oyage අත විතරයි පෙන්නේ phone eka penne nh,,2021-09-18T08:08:28Z
5.35 Mona pin tha add karanda one,,2021-09-07T09:03:03Z
Moeny transfer karanna pulivamda,,2021-09-01T01:21:15Z
Wenath bank akakata gewanne kohomada,,2021-08-25T09:26:50Z
"mama solo app eka dagattha, mata eka cvv eka mata maga card eka last anka 3n gahanna denne nane, ekata mokada keranne, mokakada e Era eka ???",,2021-08-04T17:03:02Z
Bro me app ekata txt tiyanawadha?,,2021-07-06T16:43:54Z
Me welawe hetiyta loku udawwk una.me video eka.thank you so much.😍❤❤,,2021-06-05T05:37:54Z
"Me peoples bank account eka PayPal ekatai ,google AdSense ekata link karana video ekak danna puluwanda ?",,2021-05-31T11:01:11Z
2000 like eka magen 😅,,2021-05-29T13:02:19Z
Wena ewata transfer  karanna puluwanda,,2021-05-25T08:53:26Z
Niyamai ..,,2021-05-23T13:23:24Z
Hnb digital app gana krnnko,,2021-04-16T04:46:30Z
Meka app eke pitaratakata wadakaranawada lankawe account ekakata add karoth,,2021-03-26T11:06:15Z
❤❤❤,,2021-03-14T15:02:42Z
M❤️,,2021-03-01T18:27:04Z
Ayye shop ekakata gihilla hariwidiyata phone eken pay karana widiya gana video ekak karanna,,2021-03-01T17:40:04Z
SOLO by HNB 💙,,2021-02-26T08:26:26Z
Chanux aiyee oya phone ekak reset karana eka pilibadawa video ekak karannakooo. Eka 4n ekata hodada nadda kiyalawath danaganna. From android 4n,,2021-02-26T06:53:23Z
සුපිරි ❤,,2021-02-24T17:12:18Z
Hi අයියා,,2021-02-22T15:39:22Z
මමත් use කරනවා. පට්ට ලේසි. (Example-SLT Bill එකේ QR එක scan කරාම ගානත් auto වැටෙනවා. Finger print එක දෙන්න විතරයි තියෙන්නෙ. )👍👍👍👍,,2021-02-22T15:03:12Z
❤❤❤❤❤❤,,2021-02-22T13:02:07Z
Aiya me online free fire video ekak  ada havasa danndako please,,2021-02-22T06:00:35Z
අයියේ ඔයාට පුලුවන්නම්. පෝන් එකේ ඩිස්පෙලෙ එක ටිවි එකට ගන්න පුලුවන් විදිහේ විඩියෝ එකක් කරන්නකෝ. දැන් තියෙන ඔනම පෝන් එක්කට සෙට් වෙන ඔනම ටීවි එක්කට සෙට් වෙන කේබල් එකක් කියන්න. USB  නැතුව,,2021-02-22T02:27:17Z
Anee aiye podi awlak phon ekee puluwan nann danma udawwak ooona call gaddi aiye watenawa not  registered on network kiyala call gannath baa enneth naa puluwan  udawwak aiye,,2021-02-21T23:42:46Z
ඉංග්‍රීසි මුල සිට ම ඉගෙනගන්න අප හා එක්වන්න,,2021-02-21T18:39:54Z
Anuk de silva 👀🔥,,2021-02-21T11:53:05Z
Niyamai  chanux අයියේ,,2021-02-21T06:28:11Z
seller kenek kohomada meka araganne? online payment gateway 1k ganna bari insta walin wage business karana or podiyata website ekak hadala  business karana ayata meka eyalage business ekata use karanna bari da?,,2021-02-21T05:42:34Z
download kara use kare na thaa,,2021-02-21T04:37:26Z
Solo app eken salli sheya karanna berida wena bank account walata...aiya,,2021-02-20T16:33:05Z
Patta app ekk👍❤,,2021-02-20T16:20:51Z
පට්ට,,2021-02-20T15:56:33Z
Niyama solo app eka ..ratama kamathi da koheda,,2021-02-20T15:15:47Z
https://youtu.be/UsaRtWsNDt4,,2021-02-20T11:53:53Z
පට්ට!!!,,2021-02-20T11:53:19Z
Ayiye koo gold play botton eka.,,2021-02-20T10:56:33Z
Poco m3 review ekak dannako,,2021-02-20T10:06:28Z
Hudek mage me wyayamaya raja sapa pinisa nowana athra chanux bro gen reply ekak bala poroththuwen bawa karunawen salakanna,,2021-02-20T09:55:07Z
නියමයි,,2021-02-20T09:49:44Z
Pubg ගහන අය like එකක් දාලා ID එක දීලා යන්න කෝ,,2021-02-20T09:39:24Z
super ☺☺☺☺☺☺,,2021-02-20T09:08:57Z
wena monawa kiyannada ela kollek,,2021-02-20T08:17:22Z
2021 අලුත්ම සින්දුව මෙන්න https://youtu.be/ZrjhfHH0hzg,,2021-02-20T07:55:44Z
අනේ  DJI  Mavic mini 2  ගැන  unboxing  එකක්  ගේන්න්කෝ,,2021-02-20T07:36:21Z
Uba video okama balatiyanawa asawatama habai oya unboks karana okama tackgajate mata hinayake vitharai aiya,,2021-02-20T07:36:16Z
UnBOXING video ekak one plz,,2021-02-20T07:34:45Z
Oyage number akak danna puluwan da,,2021-02-20T07:08:51Z
"Ayiye podi prashnayak,oyata poddak katha karala dena ganna ona plss",,2021-02-20T07:08:15Z
Ane ayye gold play button eka unbox korannako,,2021-02-20T06:58:52Z
Enne kohomada,,2021-02-20T06:37:07Z
Aiiye phone ekata software update ewanne kohenda,,2021-02-20T06:36:51Z
Alienware laptop gena video ekak karannako aiye,,2021-02-20T06:19:04Z
Super chanux bro,,2021-02-20T06:03:33Z
Keep it up superb chanux අයියේ,,2021-02-20T05:49:05Z
මම මේක භාවිතා කරනවා ගොඩක් හොඳයි .,,2021-02-20T05:42:53Z
එල කොල්ලෝ 😁,,2021-02-20T05:08:51Z
9  \c,,2021-02-20T04:43:42Z
"නියමයි,ගොඩාක් වටිනවා.👍👍",,2021-02-20T04:23:35Z
Chanux aiya ape HNB debit card eke thiyena mudal pramanaya dena ganna berida oken .,,2021-02-20T03:56:25Z
අදත් ආවා,,2021-02-20T03:48:36Z
https://youtube.com/channel/UCzLCgksSQHNw_bShWMdBxzA,,2021-02-20T03:41:02Z
සබ්ස්ක්රය්බ්  1000   ගන්න  විදිය   දාන්න   වීඩියෝ 1  ඕනි,,2021-02-20T03:19:35Z
එක වැදගත් නෑ මගේ වයස අවුරුදු දාහතරයි,,2021-02-20T03:13:44Z
"goldenplay button eka unbox karanna niyamithai kiyalath dan maasayak wenawa
koo chanux eka",,2021-02-20T03:11:16Z
Diposhit puluwn dd..,,2021-02-20T03:06:11Z
Ayye huawei y7A phone eka ganath one,,2021-02-20T02:57:37Z
Ayye huawei y7A phone eka ganath oneeeee,,2021-02-20T02:57:02Z
Fortnite gameply ekak one ayako,,2021-02-20T02:49:29Z
"Apahu"" sinhala geek show ekata එහෙමත් නැත්තං chanux bro youtube chanel ekata kiyana kallata"" කැමති aya ko",,2021-02-20T02:47:49Z
Video එක නම්. හොදයි අය්යේ මේ. ගේම් එක ගැන video එකක් කරන්නකෝ. Cutie garden,,2021-02-20T02:25:51Z
❤️❤️❤️,,2021-02-20T01:44:09Z
apinam ready,,2021-02-20T01:37:50Z
Wow💪💪💪,,2021-02-20T01:37:28Z
ඕකෙන්ම bank account ekaka හදාගන්න පුළුවන් ද,,2021-02-20T01:37:19Z
https://youtu.be/Gnjpzf9nwv8,,2021-02-20T01:15:46Z
පුලුවන් අය මට subscribe 500ක් ගන්න උදව් කරන්න මමත් අවංකවම උදව් කරනවා,,2021-02-20T01:15:39Z
ps5 ultimate gaming setup ekath dannakoo😋,,2021-02-20T01:13:16Z
Nice bro👍👍,,2021-02-20T00:54:20Z
Supper  app  eka.,,2021-02-20T00:50:52Z
Ado one plus nord gane danpko vidio ekk,,2021-02-20T00:25:01Z
Niyamai aiya.💙💚,,2021-02-19T23:24:50Z
app story eke nane app eka,,2021-02-19T22:42:45Z
Mata sapota  karannako,,2021-02-19T19:21:51Z
Good,,2021-02-19T19:17:27Z
anuka di silwa kiyanne kauda aiye,,2021-02-19T19:02:25Z
"*තෙරුවන්සරණයි! යාලුවනේ😍*

*තවත් කෙනෙක්ගේ දියුණුවක් දැකලා හදවතින්ම සතුටු වෙන්න පුලුවන් ආදරණීය හදවත්වලින් ඉල්ලන අහිංසක ඉල්ලිමක්😍*

*නිදහසේ අහන්න පුලුවන් ලස්සන සිංදු ටිකක් මගේ චැනල් එකේ තියෙනවා, ඇවිත් බලන්න, හොදයිනම්  සහයෝගයක් දෙන්න.සහයෝගය ඕනී යාලුවොත් එන්න comment එකක් දාන්න*

*තෙරුවන්සරණයි! 
පරිස්සමෙන් ඉන්න*.....💚🙏👌",,2021-02-19T19:01:43Z
236 Comment 718 Like.❤️❤️❤️,,2021-02-19T18:29:27Z
☝🤣😉,,2021-02-19T18:22:03Z
HNB na bro 🤐,,2021-02-19T18:17:23Z
Aiye onama bank account ekak add karanna puluwanda,,2021-02-19T18:09:32Z
"Niyama app ekak supiri 
Thank you chanux aiye",,2021-02-19T18:06:22Z
වැඩිම like ප්‍රමාණයක් තියෙන comment එකක් සහ chanux අයියා ගෙන් love එකක් එකක් ගන්න බලාගෙන ඉන්න අය කවුද ? 😏,,2021-02-19T17:56:41Z
සුපිරි සුපිරි 👍👍👍,,2021-02-19T17:34:53Z
"එල එල 👍 chanux ❤️❤️❤️❤️
👇👉👍✨️",,2021-02-19T17:33:52Z
Chanux ❤,,2021-02-19T17:23:57Z
කෝ බලන්න හැමදාම chanux ගේ videos බලන කට්ටිය🙋❤️,,2021-02-19T17:23:56Z
නිදාගන්න හැදුවා විතරයි අනෙ,,2021-02-19T17:20:39Z
Nidiyanna yaddi me video eka balapu kattiya me konata👇,,2021-02-19T17:18:27Z
Adeh,,2021-02-19T17:17:04Z
pavichi karala thiyana wa,,2021-02-19T17:16:44Z
Super video.👍👍👍,,2021-02-19T17:16:06Z
ela kollo,,2021-02-19T17:11:01Z
තේ එකක් බිස්කට් එකක් අරගෙන ලෑස්ති වෙන්න දෙයක් නෑ රෑට කාලා ඉන්නේ. 🤣🤣🤣🤣🤣💥,,2021-02-19T17:10:13Z
patta,,2021-02-19T17:09:33Z
අයියා huawei celia  assistant gana video ekak oni,,2021-02-19T17:09:28Z
I trust u,,2021-02-19T17:05:27Z
Lanka qr tiyenne kohed?,,2021-02-19T17:02:50Z
Super,,2021-02-19T17:00:51Z
Superb ❤️😍,,2021-02-19T16:58:53Z
whatapp unband karanna khda,,2021-02-19T16:57:32Z
chanux ayiya gan thama ❤️ akak ganna Bari Una aya ko 😒,,2021-02-19T16:57:20Z
Razer laptops gana video ekak one,,2021-02-19T16:55:42Z
golden button කපරක්කුඉ පරක්කුයි කියන කට්ටිය  like එකක් දාගෙනයන්න,,2021-02-19T16:55:41Z
Ela,,2021-02-19T16:55:23Z
Chanux ayye mn laga 26800mAh battery ekak tiyena phone ekak tiyenwa habay display gihilla display ekak hoyaganna na 😢,,2021-02-19T16:54:51Z
kawda chanux brota kemithi like karana yata,,2021-02-19T16:53:26Z
ජයවේවා ❤,,2021-02-19T16:53:13Z
"😍😷👌💖⛪🙏🇱🇰💐🥂.
අහලා බලන්න ඇසිපියන් 👌🏼🎶🎶
https://youtu.be/ORtzCwgcvE0
සම්පූර්ණ ගීතයම රසවිඳ, හොඳයි නම් channel එකත් sub කරලා ගීතයේ හොඳ නරක comment එකකින් කියන්න 😇🙏🏼
ඔබට ජය ✊🏽✌🏼✌🏼🎶🎶🎺🎷🎻",,2021-02-19T16:52:55Z
Supiri video ekak chanux bro bannema hida ewa..😘😘👍👍,,2021-02-19T16:51:26Z
https://youtu.be/V7nHWHneo3c,,2021-02-19T16:50:51Z
❤,,2023-11-18T03:38:26Z
bro kiratti kat peman ental enna,,2023-06-22T19:39:42Z
Bro Debit Card Online payments activela இருக்குது எண்டத எப்படி App மூலமா தெரிஞ்சு கொள்ளலாம்????,,2022-12-14T08:23:41Z
மிகவும் பயனுள்ள பதிவு நன்றி தம்பி. வீட்டில் இருக்கும் எங்களை போன்ற பெண்களுக்கு இந்த பதிவு ஒரு மிகவும் பயனுள்ளதாக உள்ளது.,,2022-11-26T07:58:34Z
Debit card illama eppady bro active panra??,,2022-10-19T08:56:50Z
Too looooooong,,2022-09-02T21:47:26Z
Bro qr code scans panna elluma,,2022-04-09T03:54:34Z
Itha use panni forign adress ku pay pannalaama bro,,2022-02-14T07:53:20Z
Useful video,,2021-10-13T04:35:25Z
Bro after o/l hnb bank la loan apply pannalama?,,2021-10-05T09:50:49Z
Sinhala,,2021-09-30T16:31:36Z
Super bro,,2021-09-05T04:19:05Z
Bro money transfer pannurathu purila adhula yaruku pay pannuravangata account details ah kodukanum,,2021-08-29T14:33:19Z
Super ❤️,,2021-08-14T17:55:10Z
Bro reload podattda pending endu varuthu athu kku enna panra thu bro konjam sollunga,,2021-08-03T17:55:14Z
Bro eppadi online la Bill pay panniradhunu video poduggala edhula,,2021-07-06T15:26:54Z
Bro edhukku tex/= eeukku rane?endha register panna,,2021-07-06T15:13:51Z
Bro reference என்றால் என்ன,,2021-06-14T06:55:31Z
BOC app la neraya bugs irkuu but HNB best,,2021-06-11T08:25:04Z
Anna AL exam onlinela private ahh eppidi apply panrathu video podunka,,2021-06-01T03:09:08Z
Nanum use panren bro,,2021-05-31T09:59:41Z
Online banking use panradhukki charges eppidi bro,,2021-05-31T02:16:34Z
Usefull vdo 👍🏻,,2021-05-29T04:00:31Z
OTP விளங்கவில்லை,,2021-05-28T03:44:15Z
Five time kedudan anna,,2021-05-26T10:01:35Z
Anna boc online banking app pathiyum video podunga anna,,2021-05-23T12:22:48Z
Nan bavikiren semma👌👌👌,,2021-05-23T10:57:59Z
Vannakam thala video romba use ful🔥❤️,,2021-05-23T05:48:37Z
"Tnx Anna and super video 
Commercial bank app pathi sollunga",,2021-05-23T04:38:56Z
Bro India kku Mony sent pannalama,,2021-05-23T04:00:22Z
Also boc good,,2021-05-22T20:13:25Z
Bro Samsung F41 review podunga,,2021-05-22T20:11:17Z
Hi,,2021-05-22T16:41:13Z
Today Ennota Corona Positive Story video potirukan support pannunga friends ❤️🤝❤️,,2021-05-22T16:31:23Z
Com bank online banking patri Oru video poadunga bro,,2021-05-22T16:03:24Z
Keep it up brooo ❤️❤️❤️❤️,,2021-05-22T15:56:14Z
"NtB Frimi யை விடவா???
Unlimited Data என்று சொல்லும் அனைத்தும் ஏமாற்று வேலை

Mobitel postpaid & prepaid சுத்த Waste பயன்படுத்த வேண்டாம்",,2021-05-22T14:47:42Z
Email aka add karanne kohomada?,,2024-03-29T12:49:09Z
වවගගනමම්ස්න්ංන්😅❤😅😢❤😢❤😅❤😅,,2024-03-25T09:41:39Z
Thnx good❤❤❤❤❤❤❤,,2024-03-14T17:46:24Z
❤Good thnx,,2024-03-14T17:45:52Z
Block unama vena phone ekakin haduvakida,,2024-03-04T07:37:56Z
Aiye me app ekata dawasa gane kiyak hari kepenawada ape account eken,,2024-02-24T19:06:00Z
Mata add karaganna bene,,2024-02-24T13:39:24Z
Ayye hnb visa debit card eka online payment karanna hadaganne kohomada 😓,,2024-02-12T06:40:10Z
mge app ekt rejester venn bane 😕,,2024-01-10T03:16:18Z
Very good ...,,2023-11-20T22:35:27Z
Binance ekatath salli ganna puluwanda,,2023-11-15T10:45:03Z
Mata eka karanna bane,,2023-08-29T16:43:48Z
Pin cid eka illnaoo ayi ee,,2023-08-29T03:53:11Z
Mata hdn bane,,2023-08-28T13:53:31Z
❤❤❤❤,,2023-08-17T18:54:54Z
Hnb  කාඩ් එකකින්  වෙනත් බැංකු Atm එකකින් සල්ලි ගන්න විදිහ කියලා දෙන්නකෝ,,2024-03-28T06:10:43Z
"Thanks so much 😊
 hnb digital banking app ek use krn vidye video ekk dnnko",,2024-03-20T17:38:31Z
කියලා දෙන විදිය හරියටම හරි බ්‍රෝ❤,,2024-01-11T08:25:56Z
Ane sampath bank eke atm rken salli ganna video ekk one❤😊,,2024-01-11T01:32:03Z
Boc atm card ekk dl slli gn berid,,2023-12-29T11:49:24Z
Ayya credi card ekk online shopinng krna vidht hadaganna hti kiynna ko kohomd kiyala ikmnt,,2023-11-21T09:46:49Z
"Math lagadi gaththa hnb card ekak, anik banks walata wada lesi",,2023-11-05T20:38:11Z
Akta bomba suiz Alam on off,,2023-10-12T22:55:21Z
Bro Naan foreign la irukain enahku otp number eduka mudiyama iruku gimail la sms varamthiri ethum seya mudiuma athusammnthama kunjam sollungka,,2023-06-22T07:32:04Z
Bank Statement eppadi Bro edukkurathu,,2022-11-17T00:55:23Z
ஒரு கணக்கை Add செய்து Fund transfer செய்த கணக்கை எவ்வாறு delete செய்வது.,,2022-09-10T05:34:17Z
18:52 🔥,,2022-03-26T13:03:14Z
HNB users nema maranthudu atha eppudi edukuri anna,,2022-02-18T17:57:11Z
Vera level bro,,2021-12-17T15:59:59Z
நன்றாக விளங்கிக்கொள்ளக்கூடியதாக உள்ளது ஒரு பிரியோசனமான பதிவு நன்றி நண்பா,,2021-09-15T07:14:23Z
"Super bro naan ippo saudi la irukken naanum intha app use panren money transfer pannumpothu otp Number phone number kku pohuthu phone number srilankavil irukku 

Enda account la phone number mattumthaan koduthu irukken 
Email id kodukkala 
Email id ya eppadi bro add panrathu
Note : naan profile la poi add pannalam enru ninaithen edit panna varuthilla ithukku enna pannalam bro.",,2021-08-09T02:11:56Z
Thank you aiye❤️,,2024-04-28T06:13:32Z
Rata inna kenekta sim eka genath nat nam code eka hadaganne kohomada,,2024-04-17T17:49:12Z
Meke salli transfer karana limit ekak thiyenawada ?? Laksha 2kata wada transfer karanna bari da?,,2024-02-28T02:21:35Z
Mata next kkyana option hide vela pennanava bang,,2024-02-16T11:23:02Z
Wena phone ekakata ena normal msg thawa phone ekakata ganna widiha kiyannako plz☺️💗💗💗💗💗💗,,2023-12-07T06:34:06Z
"Rosa pata unnane like button eka 😂

Thank you bokka loku udawwak patta watinawa❤ ❤❤❤❤❤",,2023-10-26T03:01:55Z
Restoran sultan jari sentuh phone,,2023-10-13T01:50:23Z
Bro bank eka select karaddi branch name eke denna widihak pennanne nadda boc dala kadawata kiyala wage denna.,,2023-08-10T11:19:27Z
Mn dawas dekekete kalin hnb debit card ekak hada gatta eken online payment keraddi transaction failed kiyela watenewane😢,,2023-06-25T10:41:12Z
Transfer ekak karanna account eka hadala e welema berida,,2023-06-23T03:15:14Z
Mokadda ane oita wada sadda ahenna katha karanna barida mona reddakwath ahenne na    4n eka කනට lan karala ahanna one   ethkota vedio eka penne na 🤦,,2023-03-07T14:53:42Z
Mata hnb bank eken e-statment ekak avilla   mage  mail ekata mokakda e ekata mokada karanna one.,,2022-06-02T05:40:33Z
Maximum keeyak transfer karanna puluwanda,,2022-05-18T14:21:51Z
Mn kalin use karapu 4n eka maru krddi ekn mn digital banking app ek uninstall kra dn me 4n ek hdnna amruyne mkda krnne ekta???,,2022-03-26T16:55:40Z
Elama,,2021-12-17T13:30:46Z
Patta Bokka,,2021-12-17T10:36:57Z
Good Job,,2021-12-17T03:40:05Z
Excellent,,2021-12-16T18:02:48Z
ado thnx hode 😘🥰,,2021-12-04T06:20:48Z
HNB එකේ debit card එක ඇක්ටිවේට් කරගන්න විදිහ කියලා දෙන්නකො කවුරු හරි.මට ATM  use කරන්න ඕනෙ නෑ  online payment විතරයි.ඒත් ඇක්ටිව් කරන්න ATM එකකට දාන්න ඕනෙ නේද?,,2021-10-25T12:27:11Z
